experiment,k,bias2,variance,noise,mse_est
linear_sum_10d_hetero_radial,1,0.06010938811336477,0.38342647671950997,0.13418114620736246,0.5777170110402372
linear_sum_10d_hetero_radial,2,0.06554098109324079,0.20638825874579583,0.13418114620736246,0.40611038604639904
linear_sum_10d_hetero_radial,3,0.07116885305891293,0.1429325078439815,0.13418114620736246,0.3482825071102569
linear_sum_10d_hetero_radial,5,0.08278869226455171,0.09197800558484566,0.13418114620736246,0.3089478440567598
linear_sum_10d_hetero_radial,8,0.09846215608136571,0.06093968656497706,0.13418114620736246,0.29358298885370526
linear_sum_10d_hetero_radial,13,0.11914779391779982,0.04049244889252232,0.13418114620736246,0.2938213890176846
linear_sum_10d_hetero_radial,20,0.14198861624028813,0.028332298739558656,0.13418114620736246,0.30450206118720924
linear_sum_10d_hetero_radial,30,0.16870836861719135,0.020432457185549674,0.13418114620736246,0.3233219720101035
linear_sum_10d_hetero_radial,50,0.21181973221165454,0.013486942854254676,0.13418114620736246,0.35948782127327167
linear_sum_10d_hetero_radial,80,0.2632167126254291,0.00913941964495328,0.13418114620736246,0.4065372784777449
linear_sum_10d_hetero_radial,120,0.3212404742906667,0.006541311152533282,0.13418114620736246,0.46196293165056246
linear_sum_10d_hetero_radial,200,0.42078112386940675,0.004301202925210827,0.13418114620736246,0.55926347300198
