experiment,k,bias2,variance,noise,mse_est
product_sine_5d_homo,1,0.003017873184182471,0.03145431549898174,0.0225,0.05697218868316421
product_sine_5d_homo,2,0.003151147999238783,0.01647238567474869,0.0225,0.04212353367398747
product_sine_5d_homo,3,0.003484491914644835,0.01144375223820952,0.0225,0.037428244152854354
product_sine_5d_homo,5,0.004157352380189945,0.00722980156376691,0.0225,0.03388715394395685
product_sine_5d_homo,8,0.00521730925882042,0.004786909868425858,0.0225,0.03250421912724628
product_sine_5d_homo,13,0.006611916072338488,0.003166034355157875,0.0225,0.032277950427496364
product_sine_5d_homo,20,0.00830203846090657,0.002165592625578354,0.0225,0.03296763108648492
product_sine_5d_homo,30,0.010288859492870958,0.0015570010828306704,0.0225,0.03434586057570163
product_sine_5d_homo,50,0.013283822510375735,0.0010182730963448595,0.0225,0.0368020956067206
product_sine_5d_homo,80,0.016244140888992946,0.0006759788840409046,0.0225,0.03942011977303385
product_sine_5d_homo,120,0.018602872836672443,0.00045869506199699945,0.0225,0.04156156789866944
product_sine_5d_homo,200,0.020507636889451685,0.00026744703608944147,0.0225,0.04327508392554112
