sweep,d,n_runs,best_k_mean,best_k_std,min_mse_true_mean,min_mse_true_std,noise_var,min_mse_true_mean_norm_noise,min_mse_true_mean_rel_d1
sum_linear_homo,1,30,68.0,14.95,0.000756,0.000269,0.04000000000000001,0.0189,1.0
sum_linear_homo,2,30,26.0,4.98,0.002976,0.000582,0.04000000000000001,0.0744,3.936508
sum_linear_homo,3,30,14.17,2.65,0.00784,0.00119,0.04000000000000001,0.196,10.37037
sum_linear_homo,4,30,11.0,2.49,0.016369,0.001102,0.04000000000000001,0.409225,21.652116
sum_linear_homo,5,30,8.83,1.9,0.029575,0.002498,0.04000000000000001,0.739375,39.12037
sum_linear_homo,6,30,8.3,1.76,0.046522,0.00409,0.04000000000000001,1.16305,61.537037
sum_linear_homo,7,30,8.3,1.76,0.067222,0.005791,0.04000000000000001,1.68055,88.917989
sum_linear_homo,8,30,8.5,1.53,0.092846,0.007633,0.04000000000000001,2.32115,122.812169
sum_linear_homo,9,30,8.0,0.0,0.120831,0.009141,0.04000000000000001,3.020775,159.829365
sum_linear_homo,10,30,8.37,2.06,0.153875,0.012474,0.04000000000000001,3.846875,203.53836
sum_linear_homo,12,30,8.17,0.91,0.227546,0.020295,0.04000000000000001,5.68865,300.986772
sum_linear_homo,14,30,8.83,1.9,0.305826,0.02652,0.04000000000000001,7.64565,404.531746
sum_linear_homo,16,30,9.9,2.63,0.392686,0.042281,0.04000000000000001,9.81715,519.425926
sum_linear_homo,18,30,9.33,2.25,0.482986,0.03908,0.04000000000000001,12.07465,638.87037
sum_linear_homo,20,30,10.0,2.49,0.569315,0.047181,0.04000000000000001,14.232875,753.062169
sum_linear_homo,25,30,10.5,2.54,0.844999,0.055664,0.04000000000000001,21.124975,1117.723545
sum_linear_homo,30,30,11.33,2.4,1.124605,0.079552,0.04000000000000001,28.115125,1487.572751
sum_linear_homo,40,30,13.13,2.26,1.738631,0.09588,0.04000000000000001,43.465775,2299.776455
sum_linear_homo,50,30,14.3,3.44,2.335297,0.166778,0.04000000000000001,58.382425,3089.017196
