experiment,seed,best_model,best_degree,min_mse_vs_true,mse_vs_noisy_at_best_model
sine_1d_homo,1,polynomial_deg_3,3,0.004591046555443499,0.04552309742927531
sine_1d_homo,2,polynomial_deg_3,3,0.004473631075844807,0.045321164209587046
sine_1d_homo,3,polynomial_deg_3,3,0.005271363066159186,0.04611913635332852
sine_1d_homo,4,polynomial_deg_3,3,0.004547259876115739,0.043794071947798975
sine_1d_homo,5,polynomial_deg_3,3,0.004587913211093124,0.04623135026848715
sine_1d_homo,6,polynomial_deg_3,3,0.004695593274973435,0.04410510851912981
sine_1d_homo,7,polynomial_deg_3,3,0.004488730294063858,0.04601282694899436
sine_1d_homo,8,polynomial_deg_3,3,0.004866919491285598,0.04316193748315887
sine_1d_homo,9,polynomial_deg_3,3,0.004406374837191108,0.04603948133018891
sine_1d_homo,10,polynomial_deg_3,3,0.004960905885574004,0.04509425851540534
sine_1d_homo,11,polynomial_deg_3,3,0.005045185079345211,0.04347058534830218
sine_1d_homo,12,polynomial_deg_3,3,0.004625035187196156,0.045104943221386536
sine_1d_homo,13,polynomial_deg_3,3,0.004853490328742604,0.04649372987724591
sine_1d_homo,14,polynomial_deg_3,3,0.004441355603029221,0.044157532229850506
sine_1d_homo,15,polynomial_deg_3,3,0.004365912286402542,0.04597745800342708
sine_1d_homo,16,polynomial_deg_3,3,0.004911218890370222,0.04381250717896908
sine_1d_homo,17,polynomial_deg_3,3,0.005079616535687483,0.044739687137837665
sine_1d_homo,18,polynomial_deg_3,3,0.004756681115287558,0.045219957503573174
sine_1d_homo,19,polynomial_deg_3,3,0.004969900798495451,0.04463339753991869
sine_1d_homo,20,polynomial_deg_3,3,0.0047187060983993655,0.04405202934793298
sine_1d_homo,21,polynomial_deg_3,3,0.004427866166429864,0.04355876258099721
sine_1d_homo,22,polynomial_deg_3,3,0.004511298478546035,0.045554564257116195
sine_1d_homo,23,polynomial_deg_3,3,0.004614877608165833,0.045097632243365854
sine_1d_homo,24,polynomial_deg_3,3,0.004633156302427375,0.04262827318974879
sine_1d_homo,25,polynomial_deg_3,3,0.004584285223252076,0.045566044122752086
sine_1d_homo,26,polynomial_deg_3,3,0.004332797167069206,0.043722309413791696
sine_1d_homo,27,polynomial_deg_3,3,0.004817948831507051,0.04542752970890958
sine_1d_homo,28,polynomial_deg_3,3,0.004647746019541106,0.04613131348010407
sine_1d_homo,29,polynomial_deg_3,3,0.004694082180599258,0.0455163088504194
sine_1d_homo,30,polynomial_deg_3,3,0.004559091078768847,0.04327183003340727
piecewise_1d_hetero_linear,1,polynomial_deg_3,3,0.0372392808898961,0.13325628079653748
piecewise_1d_hetero_linear,2,polynomial_deg_3,3,0.03543290214074912,0.1318368509113169
piecewise_1d_hetero_linear,3,polynomial_deg_3,3,0.033249243616612856,0.12761331293374598
piecewise_1d_hetero_linear,4,polynomial_deg_3,3,0.035596087562554286,0.1256938797506685
piecewise_1d_hetero_linear,5,polynomial_deg_3,3,0.03793301382518902,0.12913414377963825
piecewise_1d_hetero_linear,6,polynomial_deg_3,3,0.03669447097279836,0.1262021057954483
piecewise_1d_hetero_linear,7,polynomial_deg_3,3,0.035348612561985175,0.1292811080705108
piecewise_1d_hetero_linear,8,polynomial_deg_3,3,0.038360963586224685,0.12714608578449985
piecewise_1d_hetero_linear,9,polynomial_deg_3,3,0.03840900198395568,0.13184992398262876
piecewise_1d_hetero_linear,10,polynomial_deg_3,3,0.03667924098240346,0.12577446854340396
piecewise_1d_hetero_linear,11,polynomial_deg_3,3,0.03533106582680478,0.11967310983059017
piecewise_1d_hetero_linear,12,polynomial_deg_3,3,0.03527258474389138,0.12567524330162194
piecewise_1d_hetero_linear,13,polynomial_deg_3,3,0.035765068090551036,0.1306478520878361
piecewise_1d_hetero_linear,14,polynomial_deg_3,3,0.035434707143827,0.12833083952118737
piecewise_1d_hetero_linear,15,polynomial_deg_3,3,0.034133215530213444,0.1295995472404789
piecewise_1d_hetero_linear,16,polynomial_deg_3,3,0.033325960823178714,0.1258023184598677
piecewise_1d_hetero_linear,17,polynomial_deg_3,3,0.03726870135500846,0.12751673809873493
piecewise_1d_hetero_linear,18,polynomial_deg_3,3,0.03443290452593024,0.12909813489932712
piecewise_1d_hetero_linear,19,polynomial_deg_3,3,0.037472678642434636,0.13846767214845973
piecewise_1d_hetero_linear,20,polynomial_deg_3,3,0.03524600318459646,0.13060180004555666
piecewise_1d_hetero_linear,21,polynomial_deg_3,3,0.0358710050992717,0.13265021280378597
piecewise_1d_hetero_linear,22,polynomial_deg_3,3,0.03616415654651973,0.13088724579552125
piecewise_1d_hetero_linear,23,polynomial_deg_3,3,0.03606978546128461,0.1324704218799427
