experiment,seed,best_k,min_mse_vs_true,mse_vs_noisy_at_best_k
sine_1d_homo,1,30,0.0020082198018832715,0.043164155529977336
sine_1d_homo,2,30,0.002608448715360834,0.04306423198298829
sine_1d_homo,3,20,0.0026544372352624865,0.042911714893980914
sine_1d_homo,4,20,0.002260566563397307,0.04142587076858248
sine_1d_homo,5,20,0.0018307558976942474,0.04279906675829576
sine_1d_homo,6,20,0.003115394217689965,0.043468288153444376
sine_1d_homo,7,20,0.0029614673828899153,0.043216613213125636
sine_1d_homo,8,30,0.002590526401433311,0.04142955730392532
sine_1d_homo,9,20,0.0028953665978264202,0.04463695239476429
sine_1d_homo,10,20,0.0022479591590990207,0.04129147469589343
sine_1d_homo,11,30,0.0035952975798603038,0.04317520137230288
sine_1d_homo,12,20,0.0011912519836689453,0.041438815763418416
sine_1d_homo,13,30,0.0029936631649596793,0.04394644361083347
sine_1d_homo,14,30,0.0017036637758716749,0.04176565566039339
sine_1d_homo,15,20,0.0021013897062463365,0.0436075474518649
sine_1d_homo,16,30,0.0016274346790478595,0.04051775040944197
sine_1d_homo,17,30,0.0020952006914891344,0.041665482098738105
sine_1d_homo,18,30,0.0021462297359650107,0.0434753140540244
sine_1d_homo,19,20,0.0024978736674254537,0.043519219640909955
sine_1d_homo,20,20,0.0026731493385841448,0.04249382511922995
sine_1d_homo,21,30,0.0024587404378042708,0.04205406902754727
sine_1d_homo,22,20,0.0020077790158016516,0.043900603287739016
sine_1d_homo,23,20,0.0029167609964363857,0.04403479872079763
sine_1d_homo,24,30,0.0034196054909388968,0.04315250247935686
sine_1d_homo,25,30,0.0026573029069703663,0.044101701822571344
sine_1d_homo,26,30,0.0019738370865320935,0.04023608667111171
sine_1d_homo,27,30,0.002264545775575771,0.04234190011415382
sine_1d_homo,28,30,0.0018490360681752453,0.04312090691505871
sine_1d_homo,29,30,0.0018278539455108785,0.04286894646075787
sine_1d_homo,30,30,0.0020178137667032346,0.04236166334226938
piecewise_1d_hetero_linear,1,20,0.007983444297336469,0.10367293999770713
piecewise_1d_hetero_linear,2,30,0.008846961269223193,0.10367026481473185
piecewise_1d_hetero_linear,3,30,0.009033357392571622,0.10079652086496495
piecewise_1d_hetero_linear,4,20,0.006901664444357573,0.09883206143826544
piecewise_1d_hetero_linear,5,30,0.008063474524900234,0.10065512098739748
piecewise_1d_hetero_linear,6,30,0.007696014144921254,0.09807601682327874
piecewise_1d_hetero_linear,7,50,0.012083448784602628,0.10699183345349748
piecewise_1d_hetero_linear,8,30,0.006673105214458857,0.09707476638662703
piecewise_1d_hetero_linear,9,20,0.011420034491899633,0.10576883612765124
piecewise_1d_hetero_linear,10,20,0.006651713156497341,0.09773306980977557
piecewise_1d_hetero_linear,11,50,0.007648514962383598,0.09255674932821262
piecewise_1d_hetero_linear,12,20,0.006569331886418913,0.10093798113646088
piecewise_1d_hetero_linear,13,30,0.0066768870372197605,0.10007373452647181
piecewise_1d_hetero_linear,14,30,0.010691844713797583,0.10167998026148996
